DATE,30-year,10-year,5-year,3-year,2-year,1-year,6-month,3-month,1-month
1990-01-31,8.26,8.21,8.12,8.13,8.09,7.92,7.96,7.9,
1990-02-28,8.5,8.47,8.42,8.39,8.37,8.11,8.12,8.0,
1990-03-31,8.56,8.59,8.6,8.63,8.63,8.35,8.28,8.17,
1990-04-30,8.76,8.79,8.77,8.78,8.72,8.4,8.27,8.04,
1990-05-31,8.73,8.76,8.74,8.69,8.64,8.32,8.19,8.01,
1990-06-30,8.46,8.48,8.43,8.4,8.35,8.1,8.05,7.99,
1990-07-31,8.5,8.47,8.33,8.26,8.16,7.94,7.92,7.87,
1990-08-31,8.86,8.75,8.44,8.22,8.06,7.78,7.77,7.69,
1990-09-30,9.03,8.89,8.51,8.27,8.08,7.76,7.7,7.6,
1990-10-31,8.86,8.72,8.33,8.07,7.88,7.55,7.53,7.4,
1990-11-30,8.54,8.39,8.02,7.74,7.6,7.31,7.39,7.29,
1990-12-31,8.24,8.08,7.73,7.47,7.31,7.05,7.03,6.95,
1991-01-31,8.27,8.09,7.7,7.38,7.13,6.64,6.58,6.41,
1991-02-28,8.03,7.85,7.47,7.08,6.87,6.27,6.19,6.12,
1991-03-31,8.29,8.11,7.77,7.35,7.1,6.4,6.2,6.09,
1991-04-30,8.21,8.04,7.7,7.23,6.95,6.24,5.98,5.83,
1991-05-31,8.27,8.07,7.7,7.12,6.78,6.13,5.87,5.63,
1991-06-30,8.47,8.28,7.94,7.39,6.96,6.36,6.02,5.75,
1991-07-31,8.45,8.27,7.91,7.38,6.92,6.31,5.97,5.75,
1991-08-31,8.14,7.9,7.43,6.8,6.43,5.78,5.63,5.5,
1991-09-30,7.95,7.65,7.14,6.5,6.18,5.57,5.48,5.37,
1991-10-31,7.93,7.53,6.87,6.23,5.91,5.33,5.26,5.14,
1991-11-30,7.92,7.42,6.62,5.9,5.56,4.89,4.8,4.69,
1991-12-31,7.7,7.09,6.19,5.39,5.03,4.38,4.26,4.18,
1992-01-31,7.58,7.03,6.24,5.4,4.96,4.15,4.01,3.91,
1992-02-29,7.85,7.34,6.58,5.72,5.21,4.29,4.08,3.95,
1992-03-31,7.97,7.54,6.95,6.18,5.69,4.63,4.33,4.14,
1992-04-30,7.96,7.48,6.78,5.93,5.34,4.3,4.0,3.84,
1992-05-31,7.89,7.39,6.69,5.81,5.23,4.19,3.88,3.72,
1992-06-30,7.84,7.26,6.48,5.6,5.05,4.17,3.9,3.75,
1992-07-31,7.6,6.84,5.84,4.91,4.36,3.6,3.38,3.28,
1992-08-31,7.39,6.59,5.6,4.72,4.19,3.47,3.31,3.2,
1992-09-30,7.34,6.42,5.38,4.42,3.89,3.18,3.04,2.97,
1992-10-31,7.53,6.59,5.6,4.64,4.08,3.3,3.13,2.93,
1992-11-30,7.61,6.87,6.04,5.14,4.58,3.68,3.44,3.21,
1992-12-31,7.44,6.77,6.08,5.21,4.67,3.71,3.47,3.29,
1993-01-31,7.34,6.6,5.83,4.93,4.39,3.5,3.24,3.07,
1993-02-28,7.09,6.26,5.43,4.58,4.1,3.39,3.16,2.99,
1993-03-31,6.82,5.98,5.19,4.4,3.95,3.33,3.15,3.01,
1993-04-30,6.85,5.97,5.13,4.3,3.84,3.24,3.06,2.93,
1993-05-31,6.92,6.04,5.2,4.4,3.98,3.36,3.17,3.03,
1993-06-30,6.81,5.96,5.22,4.53,4.16,3.54,3.29,3.14,
1993-07-31,6.63,5.81,5.09,4.43,4.07,3.47,3.26,3.11,
1993-08-31,6.32,5.68,5.03,4.36,4.0,3.44,3.24,3.09,
1993-09-30,6.0,5.36,4.73,4.17,3.85,3.36,3.15,3.01,
1993-10-31,5.94,5.33,4.71,4.18,3.87,3.39,3.22,3.09,
1993-11-30,6.21,5.72,5.06,4.5,4.16,3.58,3.36,3.18,
1993-12-31,6.25,5.77,5.15,4.54,4.21,3.61,3.34,3.13,
1994-01-31,6.29,5.75,5.09,4.48,4.14,3.54,3.25,3.04,
1994-02-28,6.49,5.97,5.4,4.83,4.47,3.87,3.53,3.33,
1994-03-31,6.91,6.48,5.94,5.4,5.0,4.32,3.91,3.59,
1994-04-30,7.27,6.97,6.52,5.99,5.55,4.82,4.25,3.78,
1994-05-31,7.41,7.18,6.78,6.34,5.97,5.31,4.79,4.27,
1994-06-30,7.4,7.1,6.7,6.27,5.93,5.27,4.72,4.25,
1994-07-31,7.58,7.3,6.91,6.48,6.13,5.48,4.95,4.46,
1994-08-31,7.49,7.24,6.88,6.5,6.18,5.56,5.08,4.61,
1994-09-30,7.71,7.46,7.08,6.69,6.39,5.76,5.24,4.75,
1994-10-31,7.94,7.74,7.4,7.04,6.73,6.11,5.62,5.1,
1994-11-30,8.08,7.96,7.72,7.44,7.15,6.54,5.98,5.45,
1994-12-31,7.87,7.81,7.78,7.71,7.59,7.14,6.5,5.76,
1995-01-31,7.85,7.78,7.76,7.66,7.51,7.05,6.51,5.9,
1995-02-28,7.61,7.47,7.37,7.25,7.11,6.7,6.31,5.94,
1995-03-31,7.45,7.2,7.05,6.89,6.78,6.43,6.17,5.91,
1995-04-30,7.36,7.06,6.86,6.68,6.57,6.27,6.05,5.84,
1995-05-31,6.95,6.63,6.41,6.27,6.17,6.0,5.93,5.85,
1995-06-30,6.57,6.17,5.93,5.8,5.72,5.64,5.66,5.64,
1995-07-31,6.72,6.28,6.01,5.89,5.78,5.59,5.62,5.59,
1995-08-31,6.86,6.49,6.24,6.1,5.98,5.75,5.65,5.57,
1995-09-30,6.55,6.2,6.0,5.89,5.81,5.62,5.54,5.43,
1995-10-31,6.37,6.04,5.86,5.77,5.7,5.59,5.56,5.44,
1995-11-30,6.26,5.93,5.69,5.57,5.48,5.43,5.51,5.52,
1995-12-31,6.06,5.71,5.51,5.39,5.32,5.31,5.35,5.29,
1996-01-31,6.05,5.65,5.36,5.2,5.11,5.09,5.13,5.15,
1996-02-29,6.24,5.81,5.38,5.14,5.03,4.94,4.97,4.96,
1996-03-31,6.6,6.27,5.97,5.79,5.66,5.34,5.16,5.1,
1996-04-30,6.79,6.51,6.3,6.11,5.96,5.54,5.27,5.09,
1996-05-31,6.93,6.74,6.48,6.27,6.1,5.64,5.33,5.15,
1996-06-30,7.06,6.91,6.69,6.49,6.3,5.81,5.46,5.23,
1996-07-31,7.03,6.87,6.64,6.45,6.27,5.85,5.52,5.3,
